domain,symptom,n_present,prevalence,rate_correct,rate_incorrect,diff_incorrect_minus_correct,spearman_rho_vs_correct,spearman_pval_vs_correct
math,repair_without_recovery,128,0.5203252032520326,0.3461538461538461,0.7155172413793104,0.3693633952254642,-0.3690698224712593,2.353835966912056e-09
math,variable_binding_drift,73,0.2967479674796748,0.1615384615384615,0.4482758620689655,0.286737400530504,-0.313328956893485,5.269618092991746e-07
math,assumption_drift,63,0.2560975609756097,0.2153846153846154,0.3017241379310345,0.086339522546419,-0.0987448589690604,0.1224329349029724
math,case_split_instability,5,0.0203252032520325,0.023076923076923,0.0172413793103448,-0.0058355437665782,0.020643744623543,0.747324126364835
math,subgoal_frame_loss,3,0.0121951219512195,0.0153846153846153,0.0086206896551724,-0.0067639257294429,0.0307634994825993,0.6311116394583322
math,invariant_drift,2,0.008130081300813,0.0076923076923076,0.0086206896551724,0.0009283819628647,-0.0051608050506397,0.9358138807538378
science,repair_without_recovery,54,0.216,0.1732283464566929,0.2601626016260163,0.0869342551693233,-0.1056137438911692,0.0956747409897578
science,mechanism_frame_swap,50,0.2,0.1653543307086614,0.2357723577235772,0.0704180270149158,-0.0880112661631495,0.1653503536104082
science,constraint_mismatch,38,0.152,0.1732283464566929,0.1300813008130081,-0.0431470456436847,0.0600821896148768,0.3441093456997721
science,entity_binding_drift,31,0.124,0.1181102362204724,0.1300813008130081,0.0119710645925357,-0.0181586804442296,0.775108958770762
science,evidence_misread,8,0.032,0.0393700787401574,0.024390243902439,-0.0149798348377184,0.0425509014094565,0.5030359686216698
science,unit_scale_slip,1,0.004,0.0078740157480314,0.0,-0.0078740157480314,0.0623664496681375,0.3260433570053369
coding,variable_role_swap,22,0.0866141732283464,0.0962962962962963,0.0756302521008403,-0.0206660441954559,0.0366642145731868,0.5608059223179485
coding,branch_entanglement,20,0.0787401574803149,0.0888888888888888,0.0672268907563025,-0.0216619981325863,0.0401343240095699,0.5242958329494789
coding,spec_state_drift,14,0.0551181102362204,0.0666666666666666,0.042016806722689,-0.0246498599439775,0.0538995553305027,0.3923283578718717
coding,invariant_drop,9,0.0354330708661417,0.037037037037037,0.0336134453781512,-0.0034235916588857,0.009240979943293,0.8834843172196379
coding,loop_state_forgetting,0,0.0,0.0,0.0,0.0,,
coding,patch_backtracking,0,0.0,0.0,0.0,0.0,,
