domain,error_bucket,n_runs,pct_correct,parse_ok_rate,raw_positive_rate,final_positive_rate,mean_knot_severity,mean_raw_reversal_count,cache_join_rate,cache_correctness_match_rate,coding_extra_join_rate,coding_extra_correctness_match_rate,mean_tok_conf_prefix_100,mean_tok_conf_prefix_delta_100_10,mean_tok_neg_entropy_prefix_100,mean_tok_neg_entropy_prefix_delta_100_10,mean_tok_selfcert_prefix_100,mean_tok_selfcert_prefix_delta_100_10,mean_nc_mean_100,mean_nc_mean_delta_100_10,mean_nc_slope_100,mean_self_similarity_100,mean_n_active_L19,mean_n_active_L21,mean_wmax_max_L5,mean_wmax_max_L10,mean_cert_density,mean_uncert_density,mean_cot_quality_score_plus_neuron
coding,accepted_severe_knot,22,0.5909090909090909,1.0,1.0,1.0,2.0454545454545454,3.0454545454545454,1.0,1.0,1.0,1.0,12.403244542574333,0.15130483802893302,-0.5834127698720962,0.11205309664162554,11.347801562708469,0.11205309664162537,393.87783525603953,-23.3516427406941,-21.47617553557811,0.0,1368.1363636363637,1504.7272727272727,1.9866832386363635,1.310546875,0.45583529942698175,0.6804637613682163,0.6591098416535343
coding,clean_negative,25,0.44,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,15.320141001351123,0.5634505861637474,-0.4081325477127067,0.07008904916862412,11.523081784867859,0.07008904916862399,362.16854203553703,-15.58817297058971,5.474007639522565,0.0,140.76,209.8,1.2605468748,1.03734375,0.3794329576234472,0.5779669592117217,0.13961498730757027
coding,filtered_raw_positive,207,0.5362318840579711,1.0,1.0,0.0,0.0,2.743961352657005,1.0,1.0,1.0,1.0,12.47606829557143,0.20956406474663536,-0.5832108150565288,0.11452255348785137,11.348003517524038,0.11452255348785143,387.96888800297876,-29.50451413750785,-24.294306085934487,0.0,1269.9323671497584,1370.1159420289855,1.8798309178743962,1.2573218599033817,0.5821601079981862,0.859589928818433,0.6453916660022714
coding,parse_error,2,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,1.0,11.680037801103168,-0.27815686188769373,-0.6752340797744069,0.05761318206416044,11.25598025280616,0.05761318206416011,410.44108354430375,-10.260529358922042,-5.639749720797255,0.0,1263.5,1401.5,1.93359375,1.16796875,0.39792537850436227,0.5768902008623454,0.6638857281871742
math,accepted_mild_knot,3,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,15.735171324428336,-0.23484161288281533,-0.2574857781484581,0.07132144483032216,11.673728554432108,0.07132144483032239,301.53312782805625,-42.688274130859554,-36.011707250456766,0.0,,,,,,,
math,accepted_severe_knot,134,0.3582089552238806,1.0,1.0,1.0,2.0074626865671643,1.037313432835821,1.0,0.8283582089552238,,,14.755896961537736,-0.5950087686076326,-0.36973544369994377,0.01729762678659463,11.561478888880623,0.01729762678659459,321.64581898436825,-44.013093035655,-25.635311807637976,0.0,,,,,,,
math,clean_negative,102,0.7745098039215687,1.0,0.0,0.0,0.0,0.0,1.0,0.9509803921568627,,,15.436561327437676,-0.7852844761772645,-0.3308286478910712,-0.00524311837441271,11.600385684689499,-0.0052431183744126204,324.8062897128867,-34.53417475431546,-17.750218263842463,0.0,,,,,,,
math,filtered_raw_positive,7,0.2857142857142857,1.0,1.0,0.0,0.0,1.0,1.0,0.8571428571428571,,,15.215181840863853,-0.680753807516979,-0.34971811928400653,0.002326499335187784,11.58149621329656,0.0023264993351881052,330.4293530237181,-24.665057430688158,-9.95924249641151,0.0,,,,,,,
math,parse_error,10,0.4,0.0,0.0,0.0,0.0,,1.0,0.9,,,15.04107707556311,-1.413455407702022,-0.33866720254593063,-0.038088744933651934,11.592547130034637,-0.038088744933651775,316.0157724868933,-34.34174202837028,-9.235797517584937,0.0,,,,,,,
science,accepted_severe_knot,67,0.47761194029850745,1.0,1.0,1.0,2.0,3.0,1.0,1.0,,,11.820519217903188,-1.499093207130134,-0.5459267067298633,-0.06731089568786888,11.385287625850703,-0.06731089568786902,377.5393617365167,-11.328376421286498,-0.0850506574148251,0.0,,,,,,,
science,clean_negative,15,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1.0,1.0,,,13.521863640359111,-3.2280543907562604,-0.5137171141887829,-0.24891826926566984,11.417497218391784,-0.2489182692656698,376.9322875839932,-9.53279178108628,4.691876519809958,0.0,,,,,,,
science,filtered_raw_positive,168,0.5059523809523809,1.0,1.0,0.0,0.0,2.761904761904762,1.0,1.0,,,12.124292572024027,-1.4902157268480016,-0.5159233716998867,-0.05424647346275399,11.415290960880679,-0.054246473462754026,370.787399073263,-19.57048168839775,-5.116754438853967,0.0,,,,,,,
science,parse_error,6,0.8333333333333334,0.0,0.0,0.0,0.0,,1.0,1.0,,,12.467729301678894,-0.9949072817758579,-0.46602563231889294,0.007814753190024448,11.465188700261672,0.007814753190024485,355.7890364236385,-32.29358784470687,-5.2457045067821655,0.0,,,,,,,
